科目コード,項目,内容
I4934000,related_items,なし
I4934000,prerequisites,なし
I4720000,related_items,I226（コンピュータネットワーク特論）の内容を修得していることが望ましい。
I4720000,prerequisites,なし
I1111000,related_items,なし
I1111000,prerequisites,なし
I2331000,related_items,なし
I2331000,prerequisites,I440（高機能オペレーティングシステム）の単位修得者は履修不可。
I2351000,related_items,なし
I2351000,prerequisites,なし
I2262000,related_items,I212（情報解析学特論）の講義内容を理解していることが望ましい。また、I450（ネットワーク設計演習）を履修するためには本科目の知識が必要である。
I2262000,prerequisites,なし
I242EJ00,related_items,令和8年度開講予定
I242EJ00,prerequisites,令和8年度開講予定
I241EJ00,related_items,令和8年度開講予定
I241EJ00,prerequisites,令和8年度開講予定
I2141000,related_items,なし
I2141000,prerequisites,なし
I4274000,related_items,I212（情報解析学特論）、I213（離散信号処理特論）
I4274000,prerequisites,微分積分と線形代数の基礎知識を前提とする。
I4780000,related_items,なし
I4780000,prerequisites,相当する知識・経験があるとベターであるが、それよりはむしろ、この講義へのモチベーションがあることが重要。
I4831000,related_items,I116 プログラミング基礎、I219 ソフトウェア設計論、I226 コンピュータネットワーク特論、I233 オペレーティングシステム特論、I450 ネットワーク設計演習、I481 高信頼組込みシステム開発演習、I482 高信頼組込みシステム開発プロセス設計
I4831000,prerequisites,I116プログラミング基礎を履修済み、もしくは相当する知識を有すること。また、I226コンピュータネットワーク特論、I233オペレーティングシステムに相当する知識を有することが望ましい。なお、実習機材の都合上、履修可能人数には上限がある。
I4430000,related_items,I211　数理論理学I237 形式言語とオートマトン
I4430000,prerequisites,I211（数理論理学）とI237(形式言語とオートマトン)の知識を前提とする。
I2192000,related_items,I116 プログラミング基礎
I2192000,prerequisites,プログラミングについて一通りの知識と経験を有すること。
I4680000,related_items,なし
I4680000,prerequisites,学部程度の応用数学の知識(微分積分や線形代数のオペレーション)は前提とする。
I1151000,related_items,なし
I1151000,prerequisites,なし
I1191000,related_items,K236　データ駆動型AI基礎、K417　共創データ駆動型AI、K619　共創AI特論、I114 基礎情報数学
